,Year,Country Code,primary_energy_consumption_terrawats_per_hour
2308,2017,BEL,731.55
2309,2018,BEL,725.966
2310,2019,BEL,749.295
2349,2016,BLZ,3.674
2350,2017,BLZ,4.083
2351,2018,BLZ,3.647
2352,2019,BLZ,3.61
2390,2016,BEN,27.779
2391,2017,BEN,29.458
2392,2018,BEN,32.679
2393,2019,BEN,29.301
2431,2016,BMU,3.17
2432,2017,BMU,3.126
2433,2018,BMU,3.234
2434,2019,BMU,3.232
2472,2016,BTN,18.515
2473,2017,BTN,18.396
2474,2018,BTN,17.636
2475,2019,BTN,22.388
2593,2016,BOL,92.096
2594,2017,BOL,90.779
2595,2018,BOL,93.705
2596,2019,BOL,91.418
2623,2016,BIH,72.588
2624,2017,BIH,72.034
2625,2018,BIH,73.247
2626,2019,BIH,69.547
2745,2016,BWA,25.816
2746,2017,BWA,23.731
2747,2018,BWA,23.175
2748,2019,BWA,23.019
2866,2016,BRA,3367.171
2867,2017,BRA,3403.931
2868,2018,BRA,3417.385
2869,2019,BRA,3487.616
2908,2016,VGB,0.757
2909,2017,VGB,0.711
2910,2018,VGB,0.883
2911,2019,VGB,0.705
3029,2016,BRN,51.142
3030,2017,BRN,51.35
3031,2018,BRN,53.408
3032,2019,BRN,52.705
3151,2016,BGR,212.233
3152,2017,BGR,216.899
3153,2018,BGR,217.624
3154,2019,BGR,210.126
3193,2016,BFA,15.056
3194,2017,BFA,17.443
3195,2018,BFA,19.1
3196,2019,BFA,19.238
3314,2016,BDI,2.273
3315,2017,BDI,2.754
3316,2018,BDI,3.342
3317,2019,BDI,3.675
3371,2016,nan,10276.883
3372,2017,nan,10387.024
3373,2018,nan,10863.323
3374,2019,nan,10830.305
3413,2016,KHM,44.103
3414,2017,KHM,46.578
3415,2018,KHM,58.791
3416,2019,KHM,65.851
3534,2016,CMR,42.342
3535,2017,CMR,46.242
3536,2018,CMR,47.125
3537,2019,CMR,46.941
3655,2016,CAN,3985.288
3656,2017,CAN,4049.998
3657,2018,CAN,4084.02
3658,2019,CAN,4064.001
3697,2016,CPV,3.988
3698,2017,CPV,4.231
3699,2018,CPV,4.282
3700,2019,CPV,4.276
3738,2016,CYM,2.553
3739,2017,CYM,2.97
3740,2018,CYM,2.762
3741,2019,CYM,3.341
3779,2016,nan,8499.3
3780,2017,nan,8462.36
3781,2018,nan,8462.976
3782,2019,nan,8421.378
3819,2016,CAF,1.507
3820,2017,CAF,1.507
3821,2018,CAF,1.541
3822,2019,CAF,1.558
3875,2016,nan,366.846
3876,2017,nan,376.883
3877,2018,nan,372.127
3878,2019,nan,388.176
3997,2016,nan,
4034,2016,TCD,4.158
4035,2017,TCD,6.708
4036,2018,TCD,7.106
4037,2019,TCD,7.363
4156,2016,CHL,444.336
4157,2017,CHL,448.604
4158,2018,CHL,468.094
4159,2019,CHL,481.955
4278,2016,CHN,35876.348
4279,2017,CHN,37112.145
4280,2018,CHN,38578.57
4281,2019,CHN,39978.492
4400,2016,COL,504.49
4401,2017,COL,509.894
4402,2018,COL,519.911
4403,2019,COL,535.983
4442,2016,COM,0.887
4443,2017,COM,1.137
4444,2018,COM,1.237
4445,2019,COM,1.333
4563,2016,COG,28.268
4564,2017,COG,26.913
4565,2018,COG,25.637
4566,2019,COG,25.476
4605,2016,COK,0.44
4606,2017,COK,0.471
4607,2018,COK,0.486
4608,2019,COK,0.49
4646,2016,CRI,61.194
4647,2017,CRI,63.556
4648,2018,CRI,64.967
4649,2019,CRI,66.419
4768,2016,CIV,57.08
4769,2017,CIV,56.852
4770,2018,CIV,57.015
4771,2019,CIV,61.993
4799,2016,HRV,94.732
