,Country Code,Year,GDP per capita
550,BEN,2018,1241.825298
551,BFA,2018,804.5005378
552,BGD,2018,1991.483267
553,BGR,2018,9446.700772
554,BHR,2018,24086.30169
555,BHS,2018,33077.39183
556,BIH,2018,6070.35298
557,BLR,2018,6360.062473
558,BLZ,2018,4927.194224
559,BMU,2018,113050.7369
560,BOL,2018,3548.59078
561,BRA,2018,9151.381732
562,BRB,2018,17782.87473
563,BRN,2018,31628.47626
564,BTN,2018,3243.477437
565,BWA,2018,7503.878588
566,CAF,2018,475.9538139
567,CAN,2018,46548.63841
568,CEB,2018,16047.2797
569,CHE,2018,86388.40495
570,CHI,2018,
571,CHL,2018,15772.33348
572,CHN,2018,9905.342004
573,CIV,2018,2314.050958
574,CMR,2018,1585.240534
575,COD,2018,565.8295429
576,COG,2018,2606.615526
577,COL,2018,6729.583332
578,COM,2018,1428.290463
579,CPV,2018,3616.460666
580,CRI,2018,12485.4239
581,CSS,2018,10250.29173
582,CUB,2018,8824.194008
583,CUW,2018,18956.09791
584,CYM,2018,86180.53969
585,CYP,2018,29334.11133
586,CZE,2018,23419.73561
587,DEU,2018,47973.60762
588,DJI,2018,3038.269738
589,DMA,2018,7745.376963
590,DNK,2018,61591.92887
591,DOM,2018,8050.644076
592,DZA,2018,4142.018558
593,EAP,2018,7954.762525
594,EAR,2018,3509.754222
595,EAS,2018,11324.00488
596,ECA,2018,8008.257108
597,ECS,2018,25297.67986
598,ECU,2018,6295.934662
599,EGY,2018,2537.125185
600,EMU,2018,40059.18248
601,ERI,2018,
602,ESP,2018,30364.57994
603,EST,2018,23063.56382
604,ETH,2018,771.5248663
605,EUU,2018,35753.36685
606,FCS,2018,1826.833266
607,FIN,2018,49988.91085
608,FJI,2018,6317.413723
609,FRA,2018,41592.7959
610,FRO,2018,65572.60753
611,FSM,2018,3568.291016
612,GAB,2018,7959.007267
613,GBR,2018,43646.95197
614,GEO,2018,4722.042423
615,GHA,2018,2260.860567
616,GIB,2018,
617,GIN,2018,955.1112811
618,GMB,2018,732.7207273
619,GNB,2018,802.7673851
620,GNQ,2018,10005.61604
621,GRC,2018,19756.99046
622,GRD,2018,10466.88221
623,GRL,2018,54545.29998
624,GTM,2018,4478.424646
625,GUM,2018,36556.67491
626,GUY,2018,6145.819277
627,HIC,2018,44571.43358
628,HKG,2018,48537.56689
629,HND,2018,2510.322943
630,HPC,2018,987.1739045
631,HRV,2018,15227.5601
632,HTI,2018,1479.345827
633,HUN,2018,16427.37276
634,IBD,2018,6387.748819
635,IBT,2018,5110.911271
636,IDA,2018,1369.260457
637,IDB,2018,1835.321807
638,IDN,2018,3893.859578
639,IDX,2018,1133.259641
640,IMN,2018,89112.66772
641,IND,2018,1998.259076
642,INX,2018,
643,IRL,2018,79107.60499
644,IRN,2018,4046.341864
645,IRQ,2018,5915.850854
646,ISL,2018,74469.80406
647,ISR,2018,42063.45313
648,ITA,2018,34622.16967
649,JAM,2018,5359.993789
650,JOR,2018,4308.151074
651,JPN,2018,39727.1166
652,KAZ,2018,9812.626371
653,KEN,2018,1794.091175
654,KGZ,2018,1308.140165
655,KHM,2018,1512.126989
656,KIR,2018,1693.950155
657,KNA,2018,20567.25826
658,KOR,2018,33436.92306
659,KWT,2018,33399.06048
660,LAC,2018,8357.124704
661,LAO,2018,2569.093892
662,LBN,2018,8003.827612
663,LBR,2018,710.2659984
664,LBY,2018,11482.13364
665,LCA,2018,11353.71523
666,LCN,2018,8902.399152
667,LDC,2018,1077.493342
668,LIC,2018,699.4114352
669,LIE,2018,176499.4026
670,LKA,2018,4059.20823
671,LMC,2018,2335.303125
672,LMY,2018,4933.697969
673,LSO,2018,1192.48432
674,LTE,2018,9832.141379
675,LTU,2018,19186.18128
676,LUX,2018,117254.7404
677,LVA,2018,17865.03109
678,MAC,2018,87526.07999
679,MAF,2018,
680,MAR,2018,3226.98291
681,MCO,2018,185978.6093
682,MDA,2018,4230.626969
683,MDG,2018,518.401123
684,MDV,2018,10279.07998
685,MEA,2018,7704.420769
686,MEX,2018,9686.984927
687,MHL,2018,3793.550983
688,MIC,2018,5415.611006
689,MKD,2018,6108.740108
690,MLI,2018,894.8048435
691,MLT,2018,31573.11656
692,MMR,2018,1250.173685
693,MNA,2018,3604.925763
694,MNE,2018,8850.378404
695,MNG,2018,4156.84697
696,MNP,2018,22886.67405
697,MOZ,2018,503.3020092
698,MRT,2018,1669.773476
699,MUS,2018,11208.34382
700,MWI,2018,544.5934593
701,MYS,2018,11380.07922
702,NAC,2018,61158.56356
703,NAM,2018,5588.392864
704,NCL,2018,36382.49553
705,NER,2018,570.723922
706,NGA,2018,2027.778549
707,NIC,2018,2014.575189
708,NLD,2018,53044.53244
709,NOR,2018,82267.80932
710,NPL,2018,1178.525957
711,NRU,2018,11614.66508
712,NZL,2018,43250.44097
713,OED,2018,39306.7924
714,OMN,2018,18947.3665
715,OSS,2018,14368.92697
716,PAK,2018,1678.04315
717,PAN,2018,15544.99908
718,PER,2018,6958.497262
719,PHL,2018,3252.110274
720,PLW,2018,15895.2599
721,PNG,2018,2801.371393
722,POL,2018,15468.48222
723,PRE,2018,1438.529516
724,PRI,2018,31604.70151
725,PRK,2018,
726,PRT,2018,23562.55452
727,PRY,2018,5782.78455
728,PSE,2018,3562.330943
729,PSS,2018,4340.564704
730,PST,2018,45413.55092
731,PYF,2018,22094.75746
732,QAT,2018,65907.94843
733,ROU,2018,12398.98198
734,RUS,2018,11287.36035
735,RWA,2018,783.8127901
736,SAS,2018,1944.006635
737,SAU,2018,24228.83904
738,SDN,2018,773.5070801
739,SEN,2018,1458.081584
740,SGP,2018,66859.33834
741,SLB,2018,2411.897904
742,SLE,2018,533.9915333
743,SLV,2018,4052.624775
744,SMR,2018,48996.59299
745,SOM,2018,389.8313955
746,SRB,2018,7252.401858
747,SSA,2018,1605.490023
748,SSD,2018,
749,SSF,2018,1606.863419
750,SST,2018,13015.08585
751,STP,2018,1953.513257
752,SUR,2018,6938.086981
753,SVK,2018,19389.98216
754,SVN,2018,26116.85636
755,SWE,2018,54589.06039
756,SWZ,2018,4107.094431
757,SXM,2018,28988.25921
758,SYC,2018,16910.66792
759,SYR,2018,1265.60619
760,TCA,2018,29553.1367
761,TCD,2018,726.1510071
762,TEA,2018,8042.948352
763,TEC,2018,8876.157251
764,TGO,2018,901.5230169
765,THA,2018,7298.947146
766,TJK,2018,853.2188734
767,TKM,2018,6967.375043
768,TLA,2018,8740.515234
769,TLS,2018,1249.138351
770,TMN,2018,3605.440104
771,TON,2018,4740.700272
772,TSA,2018,1944.006635
773,TSS,2018,1606.863419
774,TTO,2018,17139.18567
775,TUN,2018,3690.896932
776,TUR,2018,9454.348443
777,TUV,2018,4156.305128
778,TZA,2018,1042.838745
779,UGA,2018,770.6007843
780,UKR,2018,3096.561768
781,UMC,2018,9448.634854
782,URY,2018,18703.86029
783,USA,2018,62805.25376
784,UZB,2018,1597.068337
785,VCT,2018,8024.028496
786,VEN,2018,
787,VGB,2018,
788,VIR,2018,36653.86305
789,VNM,2018,3230.927713
790,VUT,2018,3125.436014
791,WLD,2018,11366.07367
792,WSM,2018,4187.504787
793,XKX,2018,4384.048892
794,YEM,2018,758.1459489
795,ZAF,2018,7005.095413
796,ZMB,2018,1516.368371
797,ZWE,2018,1254.642265
798,ABW,2019,31135.88436
799,AFE,2019,1511.309259
800,AFG,2019,494.1793499
801,AFW,2019,1777.852822
802,AGO,2019,2177.799015
803,ALB,2019,5396.215864
804,AND,2019,40898.41791
805,ARB,2019,6562.969998
806,ARE,2019,42701.44305
807,ARG,2019,10076.35524
808,ARM,2019,4604.646324
809,ASM,2019,11715.36014
810,ATG,2019,17376.64968
811,AUS,2019,54875.28596
812,AUT,2019,50114.40111
813,AZE,2019,4805.753718
814,BDI,2019,223.8628757
815,BEL,2019,46599.11134
816,BEN,2019,1219.515506
817,BFA,2019,796.1152068
818,BGD,2019,2154.226819
819,BGR,2019,9879.268533
820,BHR,2019,23552.37995
821,BHS,2019,33872.33431
822,BIH,2019,6119.762351
823,BLR,2019,6837.717826
824,BLZ,2019,4983.336114
825,BMU,2019,116153.1661
826,BOL,2019,3552.068144
827,BRA,2019,8876.059836
828,BRB,2019,18480.05659
829,BRN,2019,31085.96193
830,BTN,2019,3322.863329
831,BWA,2019,7247.429476
832,CAF,2019,468.1175148
833,CAN,2019,46328.67184
834,CEB,2019,16346.56181
835,CHE,2019,85334.51946
836,CHI,2019,
837,CHL,2019,14699.46278
838,CHN,2019,10143.8382
839,CIV,2019,2276.332394
840,CMR,2019,1533.095688
841,COD,2019,596.5605701
842,COG,2019,2369.729441
843,COL,2019,6418.615783
844,COM,2019,1404.433187
845,CPV,2019,3603.775241
846,CRI,2019,12762.13801
847,CSS,2019,10406.67071
848,CUB,2019,9125.878679
